State,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
Alabama,274.82,213.47,59.65,1.41,0.29,0.0,0.0,113.88,55.24,39.71,0.0,0.94,154.41,0.59,115.35,3.53
Alaska,285.29,236.71,40.0,5.29,3.29,0.0,0.0,88.43,52.86,24.14,0.0,0.57,105.71,0.29,150.43,28.29
Arizona,363.69,237.31,106.54,16.92,2.62,0.15,0.15,234.69,70.62,45.69,0.0,2.62,192.85,20.46,36.77,111.0
Arkansas,274.73,242.0,32.36,0.18,0.18,0.0,0.0,91.45,51.73,33.55,0.0,2.36,165.55,22.36,84.45,0.0
California,351.81,214.48,108.74,22.96,4.63,0.41,0.59,270.56,82.76,46.46,0.0,4.41,221.28,0.0,109.98,16.15
Colorado,293.83,230.33,60.6,2.67,0.2,0.03,0.0,105.1,54.0,34.73,0.03,9.17,194.83,0.63,26.33,62.83
Connecticut,316.12,245.12,60.5,8.5,2.0,0.0,0.0,164.62,70.0,40.25,0.0,11.5,220.0,0.0,84.62,0.0
Delaware,365.33,276.0,84.33,4.67,0.33,0.0,0.0,139.67,65.33,41.33,0.0,4.67,271.33,0.33,89.0,0.0
District Of Columbia,366.0,211.0,148.0,7.0,0.0,0.0,0.0,129.0,68.0,47.0,0.0,31.0,164.0,0.0,171.0,0.0
Florida,357.82,313.53,43.76,0.45,0.08,0.0,0.0,95.66,51.68,37.13,0.11,1.05,239.87,5.0,100.11,11.68
Georgia,286.56,224.78,58.34,2.97,0.47,0.0,0.0,129.75,57.91,38.5,0.0,1.47,128.81,4.09,152.19,0.0
Hawaii,364.0,264.5,21.5,32.25,45.25,0.25,0.25,145.25,77.5,54.25,0.0,14.75,70.5,89.25,184.25,5.25
Idaho,341.09,276.09,59.09,5.45,0.45,0.0,0.0,121.18,58.55,27.91,0.0,2.18,57.18,39.73,230.55,11.45
Illinois,325.5,271.65,50.62,3.15,0.08,0.0,0.0,112.69,53.5,33.81,0.0,3.31,206.81,43.96,70.81,0.62
Indiana,283.92,232.0,49.13,2.72,0.05,0.03,0.0,111.72,55.38,33.05,0.08,1.44,127.97,49.26,104.26,0.92
Iowa,294.79,233.32,60.84,0.53,0.11,0.0,0.0,97.95,53.0,34.11,0.0,0.42,88.47,14.47,164.74,26.68
Kansas,314.82,284.73,29.64,0.36,0.09,0.0,0.0,104.73,48.18,31.91,0.0,2.91,224.55,0.18,43.91,43.27
Kentucky,314.93,255.96,57.25,1.57,0.14,0.0,0.0,111.71,56.46,39.36,0.04,2.07,198.93,8.89,104.18,0.82
Louisiana,327.62,275.14,51.14,1.33,0.0,0.0,0.0,97.38,53.43,37.24,0.0,3.62,212.38,3.57,107.57,0.48
Maine,332.4,305.0,26.8,0.5,0.1,0.0,0.0,101.4,49.1,33.4,0.0,8.8,230.6,4.7,87.1,1.2
Maryland,314.4,236.27,71.87,5.73,0.47,0.07,0.0,134.0,67.8,41.33,0.0,6.2,215.13,0.0,92.93,0.13
Massachusetts,362.75,319.42,41.0,2.17,0.17,0.0,0.0,121.58,51.83,35.83,0.0,7.83,272.17,0.0,82.67,0.08
Michigan,290.32,239.14,45.04,6.07,0.07,0.0,0.0,123.11,59.86,34.71,0.0,0.75,175.86,17.46,95.21,1.04
Minnesota,334.32,304.21,29.42,0.63,0.05,0.0,0.0,104.21,46.84,29.21,0.05,6.53,161.89,0.32,148.74,16.79
Mississippi,308.0,269.4,38.5,0.1,0.0,0.0,0.0,87.3,51.7,37.5,0.0,5.8,195.5,2.3,104.4,0.0
Missouri,300.55,256.86,42.0,1.59,0.09,0.0,0.0,103.73,54.14,35.5,0.0,6.91,167.18,23.91,89.86,12.68
Montana,310.05,270.68,36.32,2.74,0.26,0.0,0.05,116.68,45.58,26.68,0.16,1.37,110.37,2.74,170.05,25.37
Nebraska,213.4,191.3,21.4,0.7,0.0,0.0,0.0,78.2,44.4,25.5,0.0,0.0,74.0,2.3,99.7,37.4
Nevada,356.56,279.67,72.56,4.11,0.0,0.11,0.11,151.0,59.11,36.78,0.0,4.78,209.67,0.0,63.11,79.0
New Hampshire,350.29,316.14,32.71,1.43,0.0,0.0,0.0,99.86,50.86,36.0,0.0,0.0,306.71,1.29,42.29,0.0
New Jersey,344.56,261.81,77.31,5.06,0.38,0.0,0.0,137.81,62.94,39.62,0.12,26.25,202.31,0.25,114.94,0.69
New Mexico,284.75,228.19,55.12,1.12,0.25,0.0,0.06,119.56,47.19,30.56,0.0,1.25,185.31,0.0,67.06,31.12
New York,353.79,310.34,40.31,3.07,0.07,0.0,0.0,119.03,52.76,34.76,0.1,11.28,255.34,3.14,83.93,0.0
North Carolina,298.56,246.33,50.11,1.64,0.47,0.0,0.0,113.94,55.42,37.69,0.0,0.83,187.0,13.39,91.53,5.81
North Dakota,362.67,348.78,13.44,0.44,0.0,0.0,0.0,94.33,44.56,32.44,0.0,2.22,303.78,4.56,44.78,7.33
Ohio,316.59,252.59,60.37,3.51,0.12,0.0,0.0,109.88,57.44,35.83,0.1,8.56,162.56,28.12,110.02,7.22
Oklahoma,338.94,290.24,48.18,0.47,0.06,0.0,0.0,95.47,52.12,38.0,0.0,8.12,236.82,4.41,71.71,17.88
Oregon,343.45,305.41,37.68,0.32,0.05,0.0,0.0,90.82,49.82,24.64,0.0,2.77,65.55,0.0,274.73,0.41
Pennsylvania,362.0,268.05,89.62,4.27,0.03,0.03,0.0,126.05,61.14,40.59,0.0,1.3,232.32,12.35,114.92,1.11
Puerto Rico,257.55,239.82,15.0,1.91,0.64,0.18,0.0,118.82,37.91,17.09,36.0,21.27,46.64,37.0,63.27,53.36
Rhode Island,360.33,307.0,49.0,4.0,0.33,0.0,0.0,146.0,54.33,37.0,0.0,15.33,213.0,0.0,132.0,0.0
South Carolina,303.11,259.32,42.0,1.21,0.58,0.0,0.0,119.84,52.47,37.89,0.0,0.63,195.05,0.79,89.47,17.16
South Dakota,338.22,309.0,28.56,0.67,0.0,0.0,0.0,92.89,48.89,32.44,0.0,5.56,206.44,0.0,78.44,47.78
Tennessee,274.9,218.7,52.65,3.0,0.55,0.0,0.0,121.05,57.8,38.25,0.1,3.9,188.0,15.8,64.9,2.2
Texas,349.02,294.1,52.63,2.17,0.12,0.0,0.0,107.8,55.1,36.61,0.0,4.17,231.68,2.1,110.76,0.32
Utah,325.21,237.43,79.36,7.21,1.07,0.14,0.0,124.86,63.43,39.5,0.0,12.71,251.57,0.0,60.0,0.93
Vermont,301.5,279.75,21.5,0.25,0.0,0.0,0.0,83.0,42.75,29.0,0.0,3.0,217.0,0.0,81.5,0.0
