State,Civilia Labor Force,,,,,,,,
Alabama,"2,181,837",,,,,,,,
Alaska,"353,728",,,,,,,,
Arizona,"3,252,711",,,,,,,,
Arkansas,"1,327,435",,,,,,,,
California,"19,192,788",,,,,,,,
Colorado,"2,899,662",,,,,,,,
Connecticut,"1,887,269",,,,,,,,
Delaware,"470,075",,,,,,,,
District of Columbia,"397,720",,,,,,,,
Florida,"9,922,037",,,,,,,,
Georgia,"4,993,511",,,,,,,,
Hawaii,"699,577",,,,,,,,
Idaho,"805,716",,,,,,,,
Illinois,"6,512,493",,,,,,,,
Indiana,"3,295,293",,,,,,,,
Iowa,"1,690,916",,,,,,,,
Kansas,"1,482,709",,,,,,,,
Kentucky,"2,012,099",,,,,,,,
Louisiana,"2,089,577",,,,,,,,
Maine,"690,121",,,,,,,,
Maryland,"3,197,318",,,,,,,,
Massachusetts,"3,587,944",,,,,,,,
Michigan,"4,831,428",,,,,,,,
Minnesota,"2,977,719",,,,,,,,
Mississippi,"1,290,731",,,,,,,,
Missouri,"3,093,755",,,,,,,,
Montana,"519,979",,,,,,,,
Nebraska,"1,008,515",,,,,,,,
Nevada,"1,427,057",,,,,,,,
New Hampshire,"746,996",,,,,,,,
New Jersey,"4,515,938",,,,,,,,
New Mexico,"935,358",,,,,,,,
New York,"9,539,259",,,,,,,,
New York City,"4,146,281",,,,,,,,
North Carolina,"4,901,041",,,,,,,,
North Dakota,"427,558",,,,,,,,
Ohio,"5,673,884",,,,,,,,
Oklahoma,"1,835,037",,,,,,,,
Oregon,"2,053,854",,,,,,,,
Pennsylvania,"6,420,121",,,,,,,,
Rhode Island,"552,748",,,,,,,,
South Carolina,"2,289,830",,,,,,,,
South Dakota,"451,642",,,,,,,,
Tennessee,"3,156,375",,,,,,,,
Texas,"13,398,817",,,,,,,,
Utah,"1,522,330",,,,,,,,
Vermont,"343,843",,,,,,,,
Virginia,"4,262,681",,,,,,,,
Washington,"3,661,925",,,,,,,,
West Virginia,"775,724",,,,,,,,
Wisconsin,"3,108,632",,,,,,,,
Wyoming,"302,608",,,,,,,,
Puerto Rico,"1,150,653",,,,,,,,
