CancerType,Year,Age,AgeSpecificRate,DeathCount,Population
'All Cancer Sites Combined','2012-2016','1-4','2.2','1772','79777139'
'All Cancer Sites Combined','2012-2016','10-14','2.1','2195','103232418'
'All Cancer Sites Combined','2012-2016','15-19','2.9','3046','105862691'
'All Cancer Sites Combined','2012-2016','20-24','4.0','4493','113365107'
'All Cancer Sites Combined','2012-2016','25-29','6.2','6832','110302334'
'All Cancer Sites Combined','2012-2016','30-34','10.8','11634','107226290'
'All Cancer Sites Combined','2012-2016','35-39','19.3','19310','100203325'
'All Cancer Sites Combined','2012-2016','40-44','35.6','36455','102394606'
'All Cancer Sites Combined','2012-2016','45-49','69.4','73273','105575303'
'All Cancer Sites Combined','2012-2016','5-9','2.2','2209','102456016'
'All Cancer Sites Combined','2012-2016','50-54','134.2','150119','111853378'
'All Cancer Sites Combined','2012-2016','55-59','230.7','247323','107219272'
'All Cancer Sites Combined','2012-2016','60-64','351.4','326899','93027043'
'All Cancer Sites Combined','2012-2016','65-69','510.5','391984','76791129'
'All Cancer Sites Combined','2012-2016','70-74','734.2','403726','54990809'
'All Cancer Sites Combined','2012-2016','75-79','995.6','394188','39591870'
'All Cancer Sites Combined','2012-2016','80-84','1292.8','374500','28968005'
'All Cancer Sites Combined','2012-2016','85+','1637.6','502858','30707251'
'All Cancer Sites Combined','2012-2016','<1','1.5','299','19752090'
