Area,CancerType,Year,Sex,AgeAdjustedRate,DeathCount,Population
'Georgia','All Types of Cancer','2016','Male and Female','160.7','17184','10313620'
'Illinois','All Types of Cancer','2016','Male and Female','162.1','24389','12835726'
'Indiana','All Types of Cancer','2016','Male and Female','172.3','13424','6634007'
'Maryland','All Types of Cancer','2016','Male and Female','156.6','10911','6024752'
'Massachusetts','All Types of Cancer','2016','Male and Female','149.9','12717','6823721'
'Michigan','All Types of Cancer','2016','Male and Female','166.1','20870','9933445'
'Missouri','All Types of Cancer','2016','Male and Female','166.8','12696','6091176'
'New Jersey','All Types of Cancer','2016','Male and Female','148.5','16377','8978416'
'New York','All Types of Cancer','2016','Male and Female','145.3','35363','19836286'
'North Carolina','All Types of Cancer','2016','Male and Female','161.9','19523','10156689'
'Ohio','All Types of Cancer','2016','Male and Female','173.5','25509','11622554'
'Pennsylvania','All Types of Cancer','2016','Male and Female','164.3','28492','12787085'
'Tennessee','All Types of Cancer','2016','Male and Female','180.5','14450','6649404'
'Texas','All Types of Cancer','2016','Male and Female','149.3','40195','27904862'
'Virginia','All Types of Cancer','2016','Male and Female','156.4','15027','8414380'
'Washington','All Types of Cancer','2016','Male and Female','152.6','12594','7280934'
'Wisconsin','All Types of Cancer','2016','Male and Female','159','11498','5772917'
'Wyoming','All Types of Cancer','2016','Male and Female','140.6','962','584910'
'Alaska','All Types of Cancer','2016','Male and Female','159.3','995','741522'
'District of Columbia','All Types of Cancer','2016','Male and Female','155.8','1044','684336'
'North Dakota','All Types of Cancer','2016','Male and Female','143','1253','755548'
'South Dakota','All Types of Cancer','2016','Male and Female','160.5','1694','861542'
'Vermont','All Types of Cancer','2016','Male and Female','158.9','1356','623354'
'Delaware','All Types of Cancer','2016','Male and Female','170.9','2124','952698'
'Hawaii','All Types of Cancer','2016','Male and Female','127.9','2401','1428683'
'Idaho','All Types of Cancer','2016','Male and Female','152.8','2884','1680026'
'Maine','All Types of Cancer','2016','Male and Female','169.4','3275','1330232'
'Montana','All Types of Cancer','2016','Male and Female','148.2','2031','1038656'
'New Hampshire','All Types of Cancer','2016','Male and Female','163.9','2875','1335015'
'Rhode Island','All Types of Cancer','2016','Male and Female','158.4','2171','1057566'
'Utah','All Types of Cancer','2016','Male and Female','123.3','3125','3044321'
'Arkansas','All Types of Cancer','2016','Male and Female','178.7','6612','2988231'
'Colorado','All Types of Cancer','2016','Male and Female','138.3','7928','5530105'
'Connecticut','All Types of Cancer','2016','Male and Female','142.4','6696','3587685'
'Iowa','All Types of Cancer','2016','Male and Female','160.2','6432','3130869'
'Kansas','All Types of Cancer','2016','Male and Female','158.9','5484','2907731'
'Kentucky','All Types of Cancer','2016','Male and Female','194.2','10363','4436113'
'Louisiana','All Types of Cancer','2016','Male and Female','171.7','9149','4686157'
'Minnesota','All Types of Cancer','2016','Male and Female','149.3','9857','5525050'
'Mississippi','All Types of Cancer','2016','Male and Female','188.4','6568','2985415'
'Nebraska','All Types of Cancer','2016','Male and Female','154.1','3477','1907603'
'Nevada','All Types of Cancer','2016','Male and Female','158.8','5214','2939254'
'New Mexico','All Types of Cancer','2016','Male and Female','139.8','3560','2085432'
'Oklahoma','All Types of Cancer','2016','Male and Female','178.5','8115','3921207'
'Oregon','All Types of Cancer','2016','Male and Female','157.7','8078','4085989'
'South Carolina','All Types of Cancer','2016','Male and Female','168.1','10356','4959822'
'West Virginia','All Types of Cancer','2016','Male and Female','182','4659','1828637'
'Alabama','All Types of Cancer','2016','Male and Female','174.3','10419','4860545'
'Arizona','All Types of Cancer','2016','Male and Female','138.6','11876','6908642'
'California','All Types of Cancer','2016','Male and Female','140.2','59513','39296476'
'Florida','All Types of Cancer','2016','Male and Female','146.8','44266','20656589'
