Area,County,CancerType,Year,Sex,AgeAdjustedRate,DeathCount,Population
'Alabama','Greene County','All Types of Cancer','2012-2016','Male and Female','163.5','100','43189'
'Alabama','Perry County','All Types of Cancer','2012-2016','Male and Female','189.2','121','49245'
'Alabama','Bullock County','All Types of Cancer','2012-2016','Male and Female','213.2','132','52694'
'Alabama','Lowndes County','All Types of Cancer','2012-2016','Male and Female','214.3','144','52579'
'Alabama','Wilcox County','All Types of Cancer','2012-2016','Male and Female','194.4','137','55183'
'Alabama','Sumter County','All Types of Cancer','2012-2016','Male and Female','168.0','139','66163'
'Alabama','Choctaw County','All Types of Cancer','2012-2016','Male and Female','140.5','145','66556'
'Alabama','Clay County','All Types of Cancer','2012-2016','Male and Female','160.2','159','67104'
'Alabama','Coosa County','All Types of Cancer','2012-2016','Male and Female','182.5','156','55366'
'Alabama','Cleburne County','All Types of Cancer','2012-2016','Male and Female','180.3','188','74686'
'Alabama','Crenshaw County','All Types of Cancer','2012-2016','Male and Female','204.0','188','69373'
'Alabama','Conecuh County','All Types of Cancer','2012-2016','Male and Female','170.7','164','63819'
'Alabama','Hale County','All Types of Cancer','2012-2016','Male and Female','196.1','194','75521'
'Alabama','Lamar County','All Types of Cancer','2012-2016','Male and Female','195.1','209','70405'
'Alabama','Barbour County','All Types of Cancer','2012-2016','Male and Female','178.3','295','132909'
'Alabama','Blount County','All Types of Cancer','2012-2016','Male and Female','170.9','621','287916'
'Alabama','Lauderdale County','All Types of Cancer','2012-2016','Male and Female','171.3','1087','463064'
'Alabama','Geneva County','All Types of Cancer','2012-2016','Male and Female','182.2','345','133365'
'Alabama','Henry County','All Types of Cancer','2012-2016','Male and Female','188.3','239','85561'
'Alabama','Fayette County','All Types of Cancer','2012-2016','Male and Female','205.2','248','83761'
'Alabama','Limestone County','All Types of Cancer','2012-2016','Male and Female','157.7','790','451393'
'Alabama','Madison County','All Types of Cancer','2012-2016','Male and Female','157.8','3036','1747575'
'Alabama','Montgomery County','All Types of Cancer','2012-2016','Male and Female','173.8','2139','1137654'
'Alabama','Houston County','All Types of Cancer','2012-2016','Male and Female','178.7','1148','519557'
'Alabama','Chambers County','All Types of Cancer','2012-2016','Male and Female','201.7','474','169847'
'Alabama','Randolph County','All Types of Cancer','2012-2016','Male and Female','163.6','262','112514'
'Alabama','Butler County','All Types of Cancer','2012-2016','Male and Female','178.2','252','101493'
'Alabama','Clarke County','All Types of Cancer','2012-2016','Male and Female','174.5','292','124193'
'Alabama','Etowah County','All Types of Cancer','2012-2016','Male and Female','191.2','1300','517164'
'Alabama','Colbert County','All Types of Cancer','2012-2016','Male and Female','179.9','691','272243'
'Alabama','Franklin County','All Types of Cancer','2012-2016','Male and Female','179.1','346','157700'
'Alabama','Lawrence County','All Types of Cancer','2012-2016','Male and Female','184.6','396','167197'
'Alabama','Cherokee County','All Types of Cancer','2012-2016','Male and Female','208.5','393','129376'
'Alabama','Jackson County','All Types of Cancer','2012-2016','Male and Female','212.0','756','262774'
'Alabama','Cullman County','All Types of Cancer','2012-2016','Male and Female','181.1','962','406033'
'Alabama','Covington County','All Types of Cancer','2012-2016','Male and Female','183.9','503','188305'
'Alabama','Elmore County','All Types of Cancer','2012-2016','Male and Female','192.7','822','403489'
'Alabama','Baldwin County','All Types of Cancer','2012-2016','Male and Female','169.6','2296','994220'
'Alabama','Autauga County','All Types of Cancer','2012-2016','Male and Female','192.4','580','274602'
'Alabama','Bibb County','All Types of Cancer','2012-2016','Male and Female','197.2','259','112888'
'Alabama','Chilton County','All Types of Cancer','2012-2016','Male and Female','183.3','477','218561'
'Alabama','Calhoun County','All Types of Cancer','2012-2016','Male and Female','183.8','1332','580127'
'Alabama','Coffee County','All Types of Cancer','2012-2016','Male and Female','170.4','528','254603'
'Alabama','Dale County','All Types of Cancer','2012-2016','Male and Female','179.6','532','248027'
'Alabama','Dallas County','All Types of Cancer','2012-2016','Male and Female','220.7','559','207355'
'Alabama','Escambia County','All Types of Cancer','2012-2016','Male and Female','197.6','476','188684'
'Alabama','Monroe County','All Types of Cancer','2012-2016','Male and Female','173.9','261','109986'
'Alabama','Walker County','All Types of Cancer','2012-2016','Male and Female','223.1','979','326659'
'Alabama','Jefferson County','All Types of Cancer','2012-2016','Male and Female','180.5','6907','3295773'
'Alabama','Macon County','All Types of Cancer','2012-2016','Male and Female','199.6','255','98640'
'Alabama','Washington County','All Types of Cancer','2012-2016','Male and Female','219.0','237','84337'
'Alabama','Winston County','All Types of Cancer','2012-2016','Male and Female','174.6','302','120303'
'Alabama','Tallapoosa County','All Types of Cancer','2012-2016','Male and Female','192.8','550','204138'
'Alabama','Mobile County','All Types of Cancer','2012-2016','Male and Female','188.9','4492','2071420'
'Alabama','Shelby County','All Types of Cancer','2012-2016','Male and Female','140.8','1484','1030827'
'Alabama','Talladega County','All Types of Cancer','2012-2016','Male and Female','189.3','956','406447'
'Alabama','Russell County','All Types of Cancer','2012-2016','Male and Female','200.2','603','292832'
'Alabama','St. Clair County','All Types of Cancer','2012-2016','Male and Female','182.0','905','431463'
'Alabama','Tuscaloosa County','All Types of Cancer','2012-2016','Male and Female','169.6','1652','1012907'
'Alabama','Marengo County','All Types of Cancer','2012-2016','Male and Female','191.8','258','99702'
'Alabama','DeKalb County','All Types of Cancer','2012-2016','Male and Female','158.1','679','355297'
'Alabama','Marshall County','All Types of Cancer','2012-2016','Male and Female','183.0','1050','472360'
'Alabama','Pike County','All Types of Cancer','2012-2016','Male and Female','193.0','337','166259'
'Alabama','Lee County','All Types of Cancer','2012-2016','Male and Female','197.1','1253','769697'
'Alabama','Marion County','All Types of Cancer','2012-2016','Male and Female','178.5','391','150938'
'Alabama','Morgan County','All Types of Cancer','2012-2016','Male and Female','172.6','1266','597040'
'Alabama','Pickens County','All Types of Cancer','2012-2016','Male and Female','166.5','232','99988'
