State,Obesity Prevalence,95% Confidence Interval,,,,,,
Alabama,36.2,"(34.6, 37.9)",,,,,,
Alaska,29.5,"(27.0, 32.2)",,,,,,
Arizona,29.5,"(27.8, 31.3)",,,,,,
Arkansas,37.1,"(35.1, 39.1)",,,,,,
California,25.8,"(24.8, 26.9)",,,,,,
Colorado,23,"(21.9, 24.0)",,,,,,
Connecticut,27.4,"(26.2, 28.7)",,,,,,
Delaware,33.5,"(31.7, 35.4)",,,,,,
District of Columbia,24.7,"(22.9, 26.5)",,,,,,
Florida,30.7,"(29.1, 32.3)",,,,Hawaii,24.9,"(23.6, 26.3)"
Georgia,32.5,"(31.2, 33.8)",,,,,,
Idaho,28.4,"(26.3, 30.5)",,,,,,
Illinois,31.8,"(30.2, 33.4)",,,,,,
Indiana,34.1,"(32.6, 35.6)",,,,,,
Iowa,35.3,"(34.2, 36.5)",,,,,,
Kansas,34.4,"(33.2, 35.6)",,,,,,
Kentucky,36.6,"(34.9, 38.4)",,,,,,
Louisiana,36.8,"(34.9, 38.7)",,,,,,
Maine,30.4,"(28.9, 31.9)",,,,,,
Maryland,30.9,"(29.8, 32.1)",,,,,,
Massachusetts,25.7,"(24.3, 27.2)",,,,,,
Michigan,33,"(31.8, 34.2)",,,,,,
Minnesota,30.1,"(29.2, 30.9)",,,,,,
Mississippi,39.5,"(37.8, 41.2)",,,,,,
Missouri,35,"(33.3, 36.8)",,,,,,
Montana,26.9,"(25.2, 28.5)",,,,,,
Nebraska,34.1,"(32.9, 35.3)",,,,,,
Nevada,29.5,"(27.1, 32.0)",,,,,,
New Hampshire,29.6,"(27.9, 31.4)",,,,,,
New Jersey,25.7,"(23.3, 28.2)",,,,,,
New Mexico,32.3,"(30.7, 34.0)",,,,,,
New York,27.6,"(26.7, 28.6)",,,,,,
North Carolina,33,"(31.2, 34.8)",,,,,,
North Dakota,35.1,"(33.3, 37.0)",,,,,,
Ohio,34,"(32.7, 35.3)",,,,,,
Oklahoma,34.8,"(33.1, 36.6)",,,,,,
Oregon,29.9,"(28.4, 31.4)",,,,,,
Pennsylvania,30.9,"(29.4, 32.5)",,,,,,
Rhode Island,27.7,"(26.0, 29.5)",,,,,,
South Carolina,34.3,"(33.0, 35.6)",,,,,,
South Dakota,30.1,"(28.1, 32.1)",,,,,,
Tennessee,34.4,"(32.5, 36.3)",,,,,,
Texas,34.8,"(32.8, 36.8)",,,,,,
Utah,27.8,"(26.7, 28.9)",,,,,,
Vermont,27.5,"(25.9, 29.2)",,,,,,
Virginia,30.4,"(29.1, 31.6)",,,,,,
Washington,28.7,"(27.6, 29.8)",,,,,,
West Virginia,39.5,"(37.8, 41.3)",,,,,,
Wisconsin,32,"(30.2, 33.8)",,,,,,
Wyoming,29,"(27.3, 30.8)",,,,,,
