State,Physical Activity,Obesity / Weight Status,Fruits and Vegetables,Incidence Rate
Alaska,31.507260726072584,31.884259259259256,35.25576923076924,413
Arizona,31.149526813880144,32.80849056603773,28.417307692307688,387
California,30.229230769230774,31.951886792452857,28.03333333333333,405
Colorado,33.247301587301564,28.729767441860478,25.411009174311932,401
Delaware,30.82534246575342,32.54020100502511,32.753,498
Kentucky,32.812794612794626,33.222058823529416,28.34799999999999,521
Louisiana,34.04687500000002,31.149214659685853,33.94545454545454,481
Maine,31.36794425087107,30.293782383419703,28.629166666666666,476
Nevada,30.662135922330098,33.915841584158436,28.628,393
New Hampshire,29.933217993079587,31.605699481865273,29.559375,484
New Jersey,30.757547169811307,30.462325581395348,30.32897196261683,483
New Mexico,30.980064308681676,32.60947867298578,33.75922330097088,374
New York,30.445394736842104,30.755023923445002,27.034653465346526,483
Pennsylvania,31.223000000000024,30.245771144278613,31.035294117647066,487
Rhode Island,30.51377049180328,29.946078431372563,30.48137254901962,478
Texas,29.679552715654943,32.57912621359223,29.84951456310681,408
Utah,28.477564102564102,33.28128078817734,27.923999999999996,403
Virginia,31.253291536050156,31.200000000000006,30.69029126213593,419
West Virginia,31.17684210526313,31.690760869565203,36.10937499999999,476
Wyoming,30.573611111111106,32.74923076923077,33.94270833333332,397
