Area,CancerType,Year,Sex,AgeAdjustedRate,DeathCount,Population
'Alabama','All Types of Cancer','2012-2016','Male and Female','179','51661','24193046'
'Arizona','All Types of Cancer','2012-2016','Male and Female','144.1','57539','33577674'
'California','All Types of Cancer','2012-2016','Male and Female','145.3','292941','193396587'
'Florida','All Types of Cancer','2012-2016','Male and Female','152.6','216426','99749157'
'Georgia','All Types of Cancer','2012-2016','Male and Female','165.6','83250','50489947'
'Illinois','All Types of Cancer','2012-2016','Male and Female','168.5','122656','64349112'
'Indiana','All Types of Cancer','2012-2016','Male and Female','178.4','67080','32940934'
'Maryland','All Types of Cancer','2012-2016','Male and Female','160.3','53369','29819892'
'Massachusetts','All Types of Cancer','2012-2016','Male and Female','155.8','63976','33746413'
'Michigan','All Types of Cancer','2012-2016','Male and Female','170.4','103634','49552119'
'Missouri','All Types of Cancer','2012-2016','Male and Female','175.6','64602','30286239'
'New Jersey','All Types of Cancer','2012-2016','Male and Female','153.5','82035','44677257'
'New York','All Types of Cancer','2012-2016','Male and Female','151','177455','98767136'
'North Carolina','All Types of Cancer','2012-2016','Male and Female','166.9','95180','49744729'
'Ohio','All Types of Cancer','2012-2016','Male and Female','177.1','126585','57937136'
'Pennsylvania','All Types of Cancer','2012-2016','Male and Female','169','143292','63915034'
'Tennessee','All Types of Cancer','2012-2016','Male and Female','184','70554','32721564'
'Texas','All Types of Cancer','2012-2016','Male and Female','154','194716','134871784'
'Virginia','All Types of Cancer','2012-2016','Male and Female','160.8','73431','41548394'
'Washington','All Types of Cancer','2012-2016','Male and Female','157.1','61365','35334992'
'Wisconsin','All Types of Cancer','2012-2016','Male and Female','162.8','56991','28741681'
'Wyoming','All Types of Cancer','2012-2016','Male and Female','144.7','4716','2913295'
'Alaska','All Types of Cancer','2012-2016','Male and Female','164.9','4886','3683845'
'District of Columbia','All Types of Cancer','2012-2016','Male and Female','169','5408','3303613'
'North Dakota','All Types of Cancer','2012-2016','Male and Female','149.8','6416','3673353'
'South Dakota','All Types of Cancer','2012-2016','Male and Female','160.5','8239','4240122'
'Vermont','All Types of Cancer','2012-2016','Male and Female','164.8','6777','3125124'
'Delaware','All Types of Cancer','2012-2016','Male and Female','169.6','9946','4673592'
'Hawaii','All Types of Cancer','2012-2016','Male and Female','133.1','11972','7073523'
'Idaho','All Types of Cancer','2012-2016','Male and Female','154.8','13806','8164601'
'Maine','All Types of Cancer','2012-2016','Male and Female','174.1','16335','6642998'
'Montana','All Types of Cancer','2012-2016','Male and Female','155','10178','5102347'
'New Hampshire','All Types of Cancer','2012-2016','Male and Female','162','13590','6637378'
'Rhode Island','All Types of Cancer','2012-2016','Male and Female','164.7','11113','5273809'
'Utah','All Types of Cancer','2012-2016','Male and Female','127','15105','14722092'
'Arkansas','All Types of Cancer','2012-2016','Male and Female','185.2','33113','14834645'
'Colorado','All Types of Cancer','2012-2016','Male and Female','138.9','37600','26761747'
'Connecticut','All Types of Cancer','2012-2016','Male and Female','145.8','33283','17981910'
'Iowa','All Types of Cancer','2012-2016','Male and Female','165.6','32396','15519167'
'Kansas','All Types of Cancer','2012-2016','Male and Female','164.2','27483','14491289'
'Kentucky','All Types of Cancer','2012-2016','Male and Female','197.9','51032','22051379'
'Louisiana','All Types of Cancer','2012-2016','Male and Female','183','46728','23235641'
'Minnesota','All Types of Cancer','2012-2016','Male and Female','153.4','48456','27254706'
'Mississippi','All Types of Cancer','2012-2016','Male and Female','193.6','32610','14929974'
'Nebraska','All Types of Cancer','2012-2016','Male and Female','159.3','17388','9404363'
'Nevada','All Types of Cancer','2012-2016','Male and Female','162.3','24669','14192998'
'New Mexico','All Types of Cancer','2012-2016','Male and Female','144','17570','10419654'
'Oklahoma','All Types of Cancer','2012-2016','Male and Female','183.7','40408','19365706'
'Oregon','All Types of Cancer','2012-2016','Male and Female','162.8','39665','19876783'
'South Carolina','All Types of Cancer','2012-2016','Male and Female','171.8','49709','24161874'
'West Virginia','All Types of Cancer','2012-2016','Male and Female','189.4','23780','9223721'
