Area,County,CancerType,Year,Sex,AgeAdjustedRate,CaseCount,Population
'Alabama','Coosa County','All Types of Cancer','2012-2016','Male and Female','355.1','300','55366'
'Alabama','DeKalb County','All Types of Cancer','2012-2016','Male and Female','395.5','1700','355297'
'Alabama','Butler County','All Types of Cancer','2012-2016','Male and Female','409.0','554','101493'
'Alabama','Coffee County','All Types of Cancer','2012-2016','Male and Female','412.0','1269','254603'
'Alabama','Hale County','All Types of Cancer','2012-2016','Male and Female','399.7','399','75521'
'Alabama','Lee County','All Types of Cancer','2012-2016','Male and Female','403.2','2742','769697'
'Alabama','Barbour County','All Types of Cancer','2012-2016','Male and Female','429.8','726','132909'
'Alabama','Chilton County','All Types of Cancer','2012-2016','Male and Female','426.6','1110','218561'
'Alabama','Lauderdale County','All Types of Cancer','2012-2016','Male and Female','423.7','2618','463064'
'Alabama','Perry County','All Types of Cancer','2012-2016','Male and Female','425.5','257','49245'
'Alabama','Cherokee County','All Types of Cancer','2012-2016','Male and Female','423.6','811','129376'
'Alabama','Shelby County','All Types of Cancer','2012-2016','Male and Female','420.1','4695','1030827'
'Alabama','Washington County','All Types of Cancer','2012-2016','Male and Female','412.8','447','84337'
'Alabama','Winston County','All Types of Cancer','2012-2016','Male and Female','428.2','731','120303'
'Alabama','Blount County','All Types of Cancer','2012-2016','Male and Female','440.0','1586','287916'
'Alabama','Choctaw County','All Types of Cancer','2012-2016','Male and Female','436.2','423','66556'
'Alabama','Covington County','All Types of Cancer','2012-2016','Male and Female','486.0','1255','188305'
'Alabama','Montgomery County','All Types of Cancer','2012-2016','Male and Female','434.4','5364','1137654'
'Alabama','Conecuh County','All Types of Cancer','2012-2016','Male and Female','452.0','405','63819'
'Alabama','Autauga County','All Types of Cancer','2012-2016','Male and Female','495.6','1520','274602'
'Alabama','Bibb County','All Types of Cancer','2012-2016','Male and Female','478.3','639','112888'
'Alabama','Cullman County','All Types of Cancer','2012-2016','Male and Female','444.0','2316','406033'
'Alabama','Elmore County','All Types of Cancer','2012-2016','Male and Female','485.8','2179','403489'
'Alabama','Crenshaw County','All Types of Cancer','2012-2016','Male and Female','469.2','431','69373'
'Alabama','Lowndes County','All Types of Cancer','2012-2016','Male and Female','513.3','355','52579'
'Alabama','Henry County','All Types of Cancer','2012-2016','Male and Female','451.1','546','85561'
'Alabama','Jackson County','All Types of Cancer','2012-2016','Male and Female','457.4','1622','262774'
'Alabama','Marengo County','All Types of Cancer','2012-2016','Male and Female','454.5','597','99702'
'Alabama','Mobile County','All Types of Cancer','2012-2016','Male and Female','445.8','10723','2071420'
'Alabama','Calhoun County','All Types of Cancer','2012-2016','Male and Female','450.9','3234','580127'
'Alabama','Clarke County','All Types of Cancer','2012-2016','Male and Female','472.1','775','124193'
'Alabama','Bullock County','All Types of Cancer','2012-2016','Male and Female','481.3','300','52694'
'Alabama','Baldwin County','All Types of Cancer','2012-2016','Male and Female','445.0','5943','994220'
'Alabama','Clay County','All Types of Cancer','2012-2016','Male and Female','465.4','431','67104'
'Alabama','Cleburne County','All Types of Cancer','2012-2016','Male and Female','460.1','457','74686'
'Alabama','Colbert County','All Types of Cancer','2012-2016','Male and Female','433.1','1589','272243'
'Alabama','Dale County','All Types of Cancer','2012-2016','Male and Female','454.2','1333','248027'
'Alabama','Houston County','All Types of Cancer','2012-2016','Male and Female','440.7','2819','519557'
'Alabama','Chambers County','All Types of Cancer','2012-2016','Male and Female','522.8','1201','169847'
'Alabama','Lamar County','All Types of Cancer','2012-2016','Male and Female','487.1','501','70405'
'Alabama','Dallas County','All Types of Cancer','2012-2016','Male and Female','510.0','1288','207355'
'Alabama','Fayette County','All Types of Cancer','2012-2016','Male and Female','446.3','526','83761'
'Alabama','Geneva County','All Types of Cancer','2012-2016','Male and Female','445.4','827','133365'
'Alabama','Limestone County','All Types of Cancer','2012-2016','Male and Female','472.1','2422','451393'
'Alabama','Madison County','All Types of Cancer','2012-2016','Male and Female','446.7','8811','1747575'
'Alabama','Marshall County','All Types of Cancer','2012-2016','Male and Female','450.2','2560','472360'
'Alabama','Jefferson County','All Types of Cancer','2012-2016','Male and Female','455.5','17390','3295773'
'Alabama','St. Clair County','All Types of Cancer','2012-2016','Male and Female','474.0','2430','431463'
'Alabama','Macon County','All Types of Cancer','2012-2016','Male and Female','471.3','605','98640'
'Alabama','Lawrence County','All Types of Cancer','2012-2016','Male and Female','470.5','1013','167197'
'Alabama','Sumter County','All Types of Cancer','2012-2016','Male and Female','456.7','353','66163'
'Alabama','Walker County','All Types of Cancer','2012-2016','Male and Female','515.8','2235','326659'
'Alabama','Tuscaloosa County','All Types of Cancer','2012-2016','Male and Female','445.6','4439','1012907'
'Alabama','Wilcox County','All Types of Cancer','2012-2016','Male and Female','488.0','342','55183'
'Alabama','Talladega County','All Types of Cancer','2012-2016','Male and Female','449.8','2271','406447'
'Alabama','Tallapoosa County','All Types of Cancer','2012-2016','Male and Female','475.6','1353','204138'
'Alabama','Greene County','All Types of Cancer','2012-2016','Male and Female','468.2','280','43189'
'Alabama','Monroe County','All Types of Cancer','2012-2016','Male and Female','440.1','637','109986'
'Alabama','Etowah County','All Types of Cancer','2012-2016','Male and Female','478.7','3201','517164'
'Alabama','Marion County','All Types of Cancer','2012-2016','Male and Female','471.3','1003','150938'
