,Unnamed: 0,Population,Household Income,State,Incidence Rate,Average Annual Count_x,Death Rate,Average Annual Count_y,Cancer Death_per_hundred_cancer_patient
5,5,6633053.0,52314.0,Indiana,457.0,34242.0,178.0,13416.0,39.0
15,15,2988726.0,41754.0,Mississippi,469.0,15923.0,194.0,6522.0,41.0
19,19,2940058.0,55180.0,Nevada,393.0,12409.0,162.0,4934.0,40.0
22,22,2081015.0,46748.0,New Mexico,374.0,9116.0,144.0,3514.0,39.0
26,26,11614373.0,52334.0,Ohio,462.0,64858.0,177.0,25317.0,39.0
27,27,3923561.0,49176.0,Oklahoma,453.0,19837.0,184.0,8082.0,41.0
33,33,6651194.0,48547.0,Tennessee,463.0,35692.0,184.0,14111.0,40.0
39,39,1831102.0,43385.0,West Virginia,476.0,11653.0,189.0,4756.0,41.0
43,43,4863300.0,46257.0,Alabama,452.0,26110.0,179.0,10332.0,40.0
46,46,2988248.0,44334.0,Arkansas,468.0,16551.0,185.0,6623.0,40.0
