State,Incidence Rate,Average Annual Count_x,Death Rate,Average Annual Count_y,Cancer Death_per_hundred_cancer_patient
Kentucky,521,26945,198,10206,38
Delaware,498,5803,170,1989,34
Pennsylvania,487,79060,169,28658,36
New Hampshire,484,8129,162,2718,33
New Jersey,483,50921,154,16407,32
New York,483,111527,151,35491,32
Louisiana,481,24888,183,9346,38
Rhode Island,478,6163,165,2223,36
West Virginia,476,11653,189,4756,41
Maine,476,8700,174,3267,38
Iowa,475,17806,166,6479,36
Connecticut,472,20843,146,6657,32
Mississippi,469,15923,194,6522,41
Arkansas,468,16551,185,6623,40
Wisconsin,467,32160,163,11398,35
Georgia,466,49003,166,16650,34
Illinois,466,67683,168,24531,36
North Carolina,466,53636,167,19036,35
Kansas,464,15171,164,5497,36
Minnesota,464,28996,153,9691,33
Tennessee,463,35692,184,14111,40
Ohio,462,64858,177,25317,39
South Carolina,457,26730,172,9942,37
Indiana,457,34242,178,13416,39
South Dakota,456,4514,160,1648,37
Missouri,455,32947,176,12920,39
Montana,454,5901,155,2036,35
North Dakota,454,3725,150,1283,34
Oklahoma,453,19837,184,8082,41
Vermont,453,3678,165,1355,37
Alabama,452,26110,179,10332,40
Florida,452,121916,153,43285,36
Nebraska,452,9630,159,3478,36
Washington,451,35813,157,12273,34
Maryland,450,30444,160,10674,35
Michigan,450,54047,170,20727,38
Massachusetts,450,36149,156,12795,35
Idaho,440,7924,155,2761,35
District of Columbia,433,2818,169,1082,38
Oregon,430,20790,163,7933,38
Virginia,419,39078,161,14686,38
Alaska,413,2784,165,977,35
Texas,408,107094,154,38943,36
California,405,165242,145,58588,35
Utah,403,10143,127,3021,30
Colorado,401,22701,139,7520,33
Wyoming,397,2638,145,943,36
Nevada,393,12409,162,4934,40
Arizona,387,30448,144,11508,38
New Mexico,374,9116,144,3514,39
